hour,Cooling_kW,Heating_kW,net_cooling_rate_kW
0,12.91,-13.80,-0.89
1,13.55,-14.46,-0.91
2,14.01,-14.98,-0.97
3,14.65,-15.52,-0.87
4,15.11,-15.97,-0.86
5,14.46,-15.30,-0.84
6,14.01,-14.68,-0.67
7,14.65,-15.07,-0.42
8,15.11,-15.40,-0.29
9,15.11,-15.40,-0.29
10,15.11,-15.35,-0.24
11,14.46,-14.68,-0.22
12,13.36,-13.58,-0.22
13,13.20,-13.48,-0.28
14,13.41,-13.74,-0.33
15,13.41,-13.79,-0.38
16,13.76,-14.22,-0.46
17,14.30,-14.78,-0.48
18,14.51,-15.04,-0.53
19,14.86,-15.42,-0.56
20,15.11,-15.70,-0.59
21,15.11,-15.72,-0.61
22,15.11,-15.78,-0.67
23,15.11,-15.86,-0.75